0,1,2
咳嗽 疫苗,阳痿 早泄 发育 泌尿 中医 中药 治疗 中医 金匮肾气丸 右归丸 营养 包皮过长 包皮,0
治疗,月经 月经 排卵,0
出血 痔疮 肛裂 便血 患者 治疗 便秘 纤维素 排便,痔疮 治疗 消化 肛管 痔疮栓 痔疮膏,1
便秘 排便 维生素 纤维素 消化,腰椎 坐骨神经痛 疼痛 放射 治疗,0
恢复 子宫内膜 卵巢 排卵 恢复 月经 流产 月经 出血 出血 治疗 医院 检查 怀孕 受精卵 恢复 子宫 流产 流产 治疗 怀孕 避孕 怀孕,怀孕 流产 医院 检查 B超 宫腔 胎儿 发育 消毒 外阴 妇科 检查 保胎 治疗,1
月经 怀孕 怀孕 怀孕 早孕 医院 B超 搏动 营养 检查,检查 怀孕 怀孕 胎儿 器官 发育 胎儿 器官 怀孕 检查 医院 医院 检测 怀孕 检查,1
月经 月经,胸闷 疾病 胸膜炎 肺大泡 肺气肿 心脏 疾病 心肌 缺血 心肌酶谱 心电图,0
月经 血量 雌激素 子宫发育不良 雌激素 子宫 增生 增生 出血 月经 体内 雌激素 子宫 增生 月经 出血 病因 治疗,药物 疾病 月经 紊乱 月经 月经 怀孕 月经 内分泌 检查 病因,1
发育,检查 羊水 羊水 羊水 羊水 检查 羊水 羊水 羊水,0
月经 内分泌 月经 子宫内膜炎 妇科 疾病 月经 医院 检查 B超 性激素 病因 治疗,感冒,0
肠胃 紊乱 奥美拉唑 果胶铋 恢复 消化腺 分泌 消化,肠胃 紊乱 奥美拉唑 果胶铋 恢复 消化腺 分泌 消化,1
脂肪肝 脂肪,脊柱炎 治疗 药物 治疗 药物 治疗 外科 治疗 药物 治疗 非甾体抗炎药 免疫抑制剂 生物 制剂 激素 治疗 药物 治疗 患者 脊柱 关节 肌肉 肺活量 药物 治疗 畸形 颈椎 疼痛 身高 身高,0
分娩,脾虚 消化 补脾益肠丸,0
呼吸,麻木 周围神经 病变 颈椎病 病因 麻木 营养神经 弥可保 治疗,0
低血压 休克 贫血 检查 治疗 血糖 血常规 血管 病因 治疗,低血压 休克 贫血 检查 治疗 血糖 血常规 血管 病因 治疗,1
推拿 按摩 理疗,怀孕 孕妇 胎儿 孕妇 贫血 胎儿 贫血 胎儿 早产 缺氧 贫血 感染,0
椎间盘 劳损 变性 纤维环 髓核 脱出 脊髓 症状 治疗 按摩 针灸 理疗 中药 治疗 扭伤 疲劳,颈椎病 椎间孔 颈部 脊髓 神经根 临床 症状 疾病 患者 口服 药物 治疗 缓解 疼痛 消炎 肌肉 治疗 颈椎 软组织 劳损 治疗 四肢 麻木 患者 神经 营养 药物 康复 神经 恢复,1
外痔 疼痛 内痔 出血 出血 疼痛 混合痔 治疗 肛门 热敷 中药 软膏 九华膏 治疗 手术 治疗,人体 直肠 粘膜 肛管 皮肤 静脉丛 扩张 痔疮 医学 痔疮 内痔 外痔 混合痔 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 治疗 诊断 手术 治疗,1
伤口 伤口 伤口 医院 注射 破伤风抗毒素,月经 月经 排卵,0
痔疮 肛裂 便秘 治疗 槐角丸 治疗 维生素,痔疮 传染 痔疮 肛门 异物 疼痛 出血 症状 痔疮 医院 肛肠科 槐角丸 三七 口服 中药 痔疮膏 治疗,1
便血 出血 肛门 便血 肠镜 检查 便血 出血 结肠 直肠 出血 上消化道出血 便血 皮肤 器官 出血 血液 疾病 疾病 白血病 弥散性血管内凝血,精神 治疗,0
痔疮 人体 直肠 粘膜 肛管 皮肤 静脉丛 扩张 内痔 外痔 混合痔 感染 痔疮 肿痛 马应龙痔疮膏 抗菌素 药膏 红霉素软膏 口服 黄连上清丸 牛黄解毒片 抗生素,痔疮 人体 直肠 粘膜 肛管 皮肤 静脉丛 扩张 息肉 人体 肿块 良性肿瘤 肛门 息肉 肛管 直肠 粘膜 慢性 良性肿瘤 医院 检查 治疗,1
痔疮 便秘 治疗 马应龙痔疮膏 治疗 维生素,痔疮 直肠 肛管 静脉丛 淤血 静脉丛 扩张 静脉 治疗 马应龙痔疮膏 治疗 维生素,1
怀孕 怀孕 医院 检查,月经 妊娠 早孕 症状 月经 怀孕 医院 检查 怀孕,1
神经官能症,血糖 空腹 血糖 正常值 血糖,0
中药 咳嗽 支气管炎 支气管 肺炎 中药 治疗,蛋白质 骨折 恢复,0
精神 精神 缓解 营养,感染 疾病,0
染色体 治疗,羊水 胎儿 缺氧 胎儿 缺氧,0
咳嗽 疫苗,阳痿 早泄 中医 治疗 右归丸 金锁固精丸 治疗 肾脏,0
怀孕 流产 医院 检查 B超 宫腔 胎儿 发育 消毒 外阴 妇科 检查 保胎 治疗,怀孕 流产 一次性 药物 流产 流产 手术 药物 流产 医院 检查 怀孕 孕囊,1
阴道 白带 阴道炎 临床 外阴 瘙痒 医院 白带 诊断 治疗,白带 症状 阴道 阴道 子宫 子宫颈 前庭大腺 白带 妇科 疾病,1
检查 怀孕 医院 妇科 B超 检查 治疗,脾虚 失调,0
精神 治疗,肛裂 患者 便秘 肛门 充血 肛裂 治疗 消化 治疗,0
结膜炎 症状 卫生 消炎 眼药水 检查 治疗,脾虚 失调,0
精神 治疗,肛裂 患者 便血 疼痛 症状 手术 治疗 愈合 手术,0
中药 咳嗽 支气管炎 支气管 肺炎 中药 治疗,内分泌 检测 激素 B超 黄体酮 治疗,0
发烧 致病菌 感染 咳嗽 咽喉 红肿 皮疹 血常规 检查 体温 退烧 药物 检查 体温 惊厥,发烧 细菌 感染 病毒 感染 药物 退热 药物 血液 检查,1
肺癌 晚期 手术 中药 中药,抽搐 发育,0
新生儿,发烧 病因 肺炎 传染病 发烧 症状 病毒 感染 发热 发烧,0
怀孕,检查 支气管炎 肺炎 治疗,0
口臭 肠胃病 幽门螺杆菌 感染 医院 尿素 呼气 阳性 幽门螺杆菌 治疗 口臭,孕妇 胎儿 发育 孕妇 胎儿 孕妇 胎儿 骨骼,0
新生儿,膝关节 部位 囊肿 腱鞘囊肿 劳损 骨囊肿 肿瘤 外科 囊肿 部位 骨囊肿 手术 治疗 检查,0
过敏性哮喘 患者 过敏 患者 鼻涕 流泪 症状,臀位 胎儿 宫腔 骨盆 胎盘 肿瘤 巨大儿 矫正 胎位 剖宫产,0
发育,糖尿病 患者 医院 检查 化验 血糖,0
怀孕,中医 中气下陷 症状 补中益气丸,0
中药 治疗 肉桂,孕妇 血清 检测 血清 孕妇 体重 检测 怀孕 检查,0
甲硝唑片 龙胆泻肝丸 治疗 卫生,感冒,0
腰椎 椎间盘 理疗 中药 治疗 手术 治疗 治疗,过敏性哮喘 患者 过敏 患者 鼻涕 流泪 症状,0
痔疮 排便,外痔 肛门 疼痛 不规则 外痔 排便,1
